text,label
imma keep it real with y’all i don’t think the #debates2020 should be on twitch!!!!!!!! 💯💯,None
"@USER guess the #cult45 #trumpdrunkmorons can pick their poison... unlike jim jones who only offered one, trump has served up an assortment. #trumpgenocide #ettd #votebluetosaveamerica",None
joe “let’s be reasonable guys not everybody can get medicare” biden #demdebate,None
"pelosi says biden shouldn't debate trump: 'i wouldn't legitimize a conversation with him'

HTTP

we knew this would happen. nothing will make him rise from the basement. the left will scratch, bite, and eat their own rather than face the president!

#maga",Against
"@USER hey @USER, here’s what your own party thinks of you. a billboard paid for by the @USER for the world to see. @USER will win the #2020election HTTP",None
@USER why is it biden’s job to control trump?  that is the moderator’s job because trump did not follow the rules agreed upon by his campaign.  chris wallace couldn’t control trump and biden took the high road.,None
@USER nancy pelosi and the others democrat leaders just think that american people is stupid. this is rude and too un respectful againts people. you are a lier @USER #trump #trump2020 #maga #kag2020 #fourmoreyears,Against
"can we get a sanders v. warren battle yet? we’ve seen every other fight, but warren needs to take the gloves off against sanders (more than just commenting on online supporters). #demdebate",None
"just a reminder that local races matter now more than ever! 

take a minute today to confirm/update your voter registration, get info on upcoming elections, and make sure you have a plan to vote! 📮🇺🇸 #2020election #massachusetts #votema HTTP",None
can someone point me to the nearest antifa headquarters so i can sign up? who's the local leader? is there an email for antifa? #maga #debates2020 #trump2020 #bidenharristosaveamerica,Favor
"new nickname for biden.  #bidenstein he’s a puzzle of candidates.  plagiarizing trump’s buy american policy, bernie’s yelling, elizabeth warren’s lying. more scary than funny #bidenharris2020tosaveamerica #amjoy #2020election @USER @USER @USER #foxnews",Against
"@USER “they will turn your kids gay right before antifa brainwashes jesus into eating your kids’ brains.”
-#rnc2020",None
@USER typical. i don't know why nobody stands up to these turds. #dumptrump,Favor
@USER trump lobbied to have disabled vets food trucks removed from outside his building. a right vets had preferred status for since returning from the civil war.,None
"comment: polls are showing that biden is in the lead over trump. they are saying that the debates will have an influence on the outcome. trump is highly respected by leaders of other nations, is recommended for noble peace prize. biden has the personality",None
"@USER @USER i’m all for third party options. but give the fact that everyone is literally voting for either trump or biden, it’s going to be equivalent to voting for trump or no vote at all 😔",None
"donald trump successfully created a new “american enemy”, china.
HTTP

#trump #trumptaxreturns #trumpknew #trumpriots #trump2020 #bidenriots #biden #biden2020 #usa #usapolitics #democrat #democratsaredestroyingamerica #republicans #europe #europeanunion",None
arrest made in viral hate crime against 7 year old boy with maga hat HTTP,None
"loved seeing openly lgbtq elected officials @USER, @USER, and @USER assist in delivering the 2020 democratic convention keynote 🇺🇸 🏳️‍🌈 #demconvention #keynote #bidenharris2020",Favor
"hey @USER why isn't $2048 an ounce for #gold a news alert? over 27,000 dow? @USER @USER #trump2020 #maga #kag! #money #goldprices HTTP",None
@USER screw you #democraticnationalconvention #trump #trumpisanationaldisgrace #trumpvirus #dncconvention #wethepeople #biden2020tosaveamerica,Favor
"@USER @USER it never fails, they always play the victim and cry. she had the audacity to ask for a female officer. 🤡 #trump2020",Against
@USER taylor swift wants attention and votes democrats because her payroll depends upon them #trump2020,Against
at @USER.havasu.cigars getting ready to watch the debate rocking my bad ass new hat compliments of @USER gracias hermano! #jeremyjack #jeremyjackcigars #jj23 #trump #maga #lakehavasu #az #arizona #potus HTTP,None
@USER a lot of #gop #senators are going to have to figure out where the #moneymaker is going to come from without the @USER lining their pockets,None
"@USER + @USER + @USER + @USER = the a team 

#biden #election2020 #bernie #obama #warrenendorsesbiden #joebiden #presidentbiden #votebluetosaveamerica #voteblue2020 #notmeus #bluewave2020 #unitedasone #southasian #asian #electionsmatter #novemberiscoming HTTP",Favor
watching #gma is like a #dnc commercial. so shameful. #fakenews,None
@USER we are witnessing that anyone with a half a brain can control people’s thoughts! #trump2020,Against
@USER who could’ve guessed the party that’s so woefully inept at governing it couldn’t create a plan to repeal &amp; replace obamacare in 8 years would completely wilt under pressure dealing with a pandemic health emergency? #resist #votebluetosaveamerica #knowyourdeplorables,None
@USER @USER @USER @USER @USER @USER and joe biden is 1 trillion in debt. easy to pull random numbers out my ass with no sources.,None
joe has got to get into this fight! oh man! #democraticdebate,None
"@USER i no longer listen to dr. scarf.
she has sold her soul to trump.
i believe nothing coming out of this wh.

#votebluetosaveamerica",None
"kamala harris' dnc speech claimed a new moment for progressive democrats
HTTP
 #leftwing #politics #democrat #bernie",None
"this is the america the #democrats desire. disgusting.
#walkawayfromdemocrats #maga2020 #maga
HTTP",Against
"i find it strange that djt would never hire someone at his businesses without a resume stating qualifications...but he thinks his ""resume"" qualified him to be the leader &amp; commander in chief of the usa. 🤔🤔🤔
#votebidenharristosaveamerica #bidenharris2020landslide 
#biden2020",Favor
#democratic #whitehouse contender biden says he would pick a woman as vice president HTTP,None
shit. shitty. shit. show. #presidentialdebate2020 #dumptrump #notmypresident #makeamericanotrussiaagain #shutupman,None
"@USER you should do what feels right, you're the one who is going to have to live with your decision ultimately.
personally i see no reason to vote biden though",Against
"biden says he will focus on truth, here is the problem.  HTTP",Against
"@USER #maga 
white evangelicals are the biggest suckers in america. from tv preachers, #blacksfortrump steve bannon and the my pillow guy, grifters see working-class whites as marks, pigeons, and johns to be fleeced.",Against
"the rats scotus plan is awful, a truly balanced supreme court would be 4 communists, 4 socialists, and 4 social democrats #demdebate",None
"@USER thank you president trump! last night was amazing! you know what, nancy is livid, she just might have a stroke 🥱😉#nevadafortrump #trump2020",Against
"@USER @USER enjoy!

please #followback everyone who rt’s this short (1:36), upbeat video 

#voteblue 
#votebidenharris2020 
- “kamala and joe” - 
(remember to click “thumbs up”.)

thanks! 

HTTP",Favor
america's ceos say trump failed on coronavirus -- and they're backing biden HTTP,Favor
"@USER by this time in nazi germany ted here would be showing up to be fitted with a uniform. 
gop want one party rule. they will lie cheat steal burn our constitution to achieve that end. gop want to rule not govern.
#votelikeyourlifedependsonit because it does.
#votebluetosaveamerica",Favor
"@USER one simple slogan, ""keep america great""!  #trump2020",Against
"kneeling for the flag is against our military.

calling our fallen soldiers, pow, and soldiers losers and suckers is perfectly ok

trump logic! #maga dont deserve this country. #maga2020 voters should be deported the day of bidens inauguration for their hatred of america.",Favor
@USER @USER this just feels like an excuse to publically wet willie joe biden.,None
"is the rnc going to march out every trump voter?

newsflash: 
lies don't sway people who read

#noplatform 
#boring 
#votebluetosaveamerica HTTP",Favor
"joe biden to meet with jacob blake, sr., who has long history of racist, anti-semitic, and anti-christian posts, in kenosha HTTP",Against
"@USER @USER @USER is right. if there isn't more focus on policy, a reason to vote, @USER may not win the progressive/indy voters. is this 2016 again? #thisweek #covid19 #sundaythoughts #voteblue HTTP",None
biden and sanders both want to nominate a woman for vp. who do you guys think could it be? warren? klobuchar? harris? or somebody nobody is expecting. #demdebate,None
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 🇺🇸 thank you for the mention, stephen!

#trump2020!",Against
"@USER @USER he's politicizing the death of a child, and misrepresenting what is 99.9% likely to be a valid certificate of death showing covid-19 as an ""other factor"" or illness also present at time of death. this is how we retain crucial medical data! #gop - stop making death political!",None
"@USER @USER @USER he's a senate-confirmed presidential appointee and forbidden to even attend the convention.  that's hardly the democrats keeping him from speaking.  and if you want to talk double standards, the trump admin is full of them so stop whining. it's time for trump to go. #voteblue2020",Favor
neither biden or trump have managed to complete an entire thought or sentence since like 2010,None
"campaign trump is the best trump.

#trump2020 #trump2020landslide",Against
"@USER lol, biden needs a bump to keep him hummin'",Against
how to safely return your absentee ballot without usps #vote #votebidenharris #voteblue2020 #voterfraud #votersuppression  HTTP,Favor
"it's the final night of the #demconvention!

make sure you watch joe biden with me! 9 pm et - HTTP",Favor
@USER #hypocrisy... in the #gop HTTP,None
