index,text,label,target
982,@GilbertCRemulla @doofuscommie Let's face it the pinklawan inside Facebook are crossing the line as in the freedom of expression and freedom of speech are in danger how much more if the Pinklawan will lead the nation. RIP freedom of speech in our country . #NeverToPink,0,leni
169,"Well said. For Leni Robredo, we shall spearhead efforts to win with inclusivity and mutual respect for the overall development and progress of our nation, the Philippines. #LetLeniLead2022 #GobyernongTapat  #AngatBuhayLahat #WeNeedALeader",1,leni
229,i wanna be a public servant under President @lenirobredo and V.President @kikopangilinan ’s term!!!! They will really change the system and I am IN for it. #LeniKiko2022 #AngatBuhayLahat,1,leni
730,SMNI Broadcaster Mike Abe claims that Vice President Leni Robredo is doing nothing but throwing shade and opposing the presidential bid of former senator Bongbong Marcos.  #Eleksyon2022,0,leni
382,Rainbow for Leni-Kiko  #LeniKikoAllTheWay #BoholIsPink  #TarSUREkangLeniKiko  #BohoLeniKo  #AngatBuhayLahat,1,leni
839,#NoToLeniKiko2022  No to dilawan politics. No to spreading of fake news via Rappler and Abs-CBN. No to Leni-Kiko.,0,leni
717,I want to beat Bongbong Marcos to end all cheating allegations hurled against me! - Leni Robredo   I react: In Your Dreams! The deception in 2016 is real! That's is why you act like you can beat BBM.,0,leni
57,"No to Withdraw Leni, Yes to WE DRAW LENI  Artist for Leni  #10RobredoForPresident #LeniLiwanagSaDilim #AbanteBabae",1,leni
395,"17th President of the Republic of the Philippines in six weeks  We love you, @lenirobredo",1,leni
755,"Leni has little to no real supporter, mher base is just anti Marcos/Duterte (imagine women/lgbtq voting for a candidate backed by the church,their main discriminator). Main reason why she is having a hard time converting voters #halalan2022 #LetLeniLead2022 #BBMIsMyPresident2022",0,leni
34,"We can’t choose our relatives but we don’t have to be apologists for the horrors they inflict — unless, of course, you took part in it and remain a true believer in tyranny - like the son, widow and other children of the dictator",1,leni
989,@wreckitjep Just pray.... pinklawan will never win the presidency... never never never.. mananalo ka lang pag mandaya ka,0,leni
652," The differences between Leni and BBM. In overall personality and character, Bongbong Marcos Jr outshine Leni Robredo. Why? BBM is not defamatory person and unity is his goal. Meanwhile, Leni, slandered all political rivals and raised herself. Leni's personality is so shallow. ",0,leni
856,Lenlen package: 1. Idiot board 2. Puppet 3. US Funded 4. Idiot brain 5. War  NO TO PUPPET #LetLeniRead,0,leni
187,Damn! This is  MY PRESIDENT @lenirobredo and I will never ever be ashame that I'm going to vote for her.  #10RobredoForPresident  #7KikoPangilinanVicePresident  #TropangAngatAllTheWay  #AngatBuhayLahat  #IpanloNa10ParaSaLahat  #proudkakampink,1,leni
789,"If she can't even unify her party, how can she unify the Filipinos?  #BBM2022 #BBMIsMyPresident2022 #BBMIkawAngPresidenteKo",0,leni
856,LENI DUMB  #BBMIsMyPresident2022  #BBMtheNextPresident,0,leni
659,"However, Mrs. Leni Robredo’s low level of competence &amp; intelligence makes her not understand that her overall negative trust rating on her past &amp; present performance as sitting VP says it all.  The 80% of Filipinos rejects her persona and 55% to 65% will vote for Bongbong Marcos!",0,leni
924,"Ang appearance ni Kris Aquino only added proof to the haters that Leni is indeed, a pinklawan. A puppet of LP and a pawn to the oligarchs. Sadly, they fail to scrutinize beyond the colors involved.",0,leni
635,#LenLenLoser is a dirt Cheap Move. I mean you shouldn't be bothered at all. It only reflects how bitter your heart and how blind you are with the truth. Nakakaawa kayo  #LetLeniLead  #PasigIsPink,0,leni
683,"That is now the danger and disadvantage of having a leader in the mold of Leni Robredo. It's clear to me that it will be a sleepy or boring one, and the people should be wary of a leader like her. As a matter of fact, she's neither a leader nor follower.  #Kakampink",0,leni
68,"Why do women always need to sacrifice? When in fact you said it out loud that women can't lead? C'mon. Give us a better argument. Y'all are showing the shady parts of yours. Too much drama for men, isn't it?   #abantebabae",1,leni
46,"VP Leni is a woman of substance! She answered perfectly and thoughtfully in this interview. Even if this woman is brought down by insults and hate comments, she comes out stronger and better than ever.  #KayLeniTaloSiMarcos #AbanteBabae #10RobredoForPresident",1,leni
169,good day everyone!! I have recently started a small business to incorporate my support with VP Leni as my next president.  To those who are interested kindly PM me for further details. ORDER NOW!! #LeniKiko2022 #AngatBuhayLahat #LeniKikoAllTheWay2022 #LeniLiwanagSaDilim,1,leni
786,No more PINKLAWAN  No more Aquino No to Leni Robredo #BBMSigawNgBayan  #BringBackMarcos  #ProtectMarcosJr,0,leni
29,She is the president we need!  #LeniKikoAllTheWay2022 #AbanteBabae,1,leni
30,she said #AbanteBabae and that made me love her even more!,1,leni
324,Just showing my support to LENI-KIKO PINK MOVEMENT with my sibuyas -inspired kubo #kakampink #artforleni #sibuyas #angatbuhaylahat #leniko #LeniKiko2022 #LetLeniLead2022 #GobyernongTapatAngatBuhayLahat #artistsforleni,1,leni
341,"Wewwwww! #LeniKiko GRAND RALLY IN CEBU April 21, 2022  This time i wont miss it.  #LeniRobredo2022 #LeniKiko2022 #AngatBuhayLahat #KulayRosasAngBukas",1,leni
715,"Like Krizette, I have my reservations about Bongbong. This post of hers echoes exactly what I've been thinking  I'm voting for Bongbong because Leni and the people surrounding her, from her principals, managers &amp; supporters, present greater danger &amp; problems for our country ",0,leni
153,Woke up to 2 of my friends’ messages saying they are now switching to #LeniKiko2022. Maraming salamat sa pagtindig! What a great way to start my day! #Ipana7oNa10ParaSaLahat  #AngatBuhayLahat,1,leni
199,From ping to pink. #switchtolenikiko #Kakampink #AngatBuhayLahat,1,leni
28,"I'm equally proud of myself as a first time voter and for making my first vote count!! Unang ambag for the nation!!!! Pls motherland, let it be Leni!!!!!  #LabanLeni2022  #LetLeniKikoLead  #AbanteBabae",1,leni
622,Limited vocabulary from a woman with limited brain cells.  #BBMSARA2022  #BobaSiLenLen,0,leni
189,We deserve a better future.  We deserve good governance that actually cares about its people. We deserve a leader that is for the people.  We need President Leni Robredo and  Vice President Kiko Pangilinan  #LeniKikoAllTheWay2022 #IpanloNa10ToParaSaLahat #AngatBuhayLahat,1,leni
