index,text,label,target
575,"ppl are hoarding tp, hand sanitizer etc. setting up make shift hospitals, quarantines. ny is shut down, curfews, no flights into our country from anywhere basically but, @USER @USER is the existential threat to america. ok. all i gotta say 
#trumppence2020 #demdebate",0,biden
506,"@USER @USER amen
he is like that one friend who will do anything for you but always says something crazy &amp; gets you in a fight. still you can't help but love him!
-god bless donald j. trump‐
#trump2020",0,biden
564,"what's up party people!?
#trump2020 ❤🤍💙🇺🇲 HTTP",0,biden
109,"trump is a scammer ... both his charity and his university he is a scammer you still do not stop supporting them
trump is a scammer , both his charity and his university are scammers you still do not give up your support   #trump2020  #biden #portlandprotests  #blacklivesmatter HTTP",1,biden
296,"@USER biden is lame if he can't handle a freaking 90 minute debate...you demonrats i swear, he is so messed up.",0,biden
831,"@USER hey dems
would you attend a democratic ""unify to win""
#votebluenomatterwho
rally in d.c.

 #unifytowin  #votebluetosaveamerica",1,biden
736,"@USER where is your mask, sheep? you actually believe that pres trump is trying to sabotage the postal service? every hoax that you and your partisan party has been completely destroyed. grasping at straws. thank god that the rest of the country is smarter than you jennifer. #trump2020",0,biden
301,@USER democrats at their convention wish to segregate the united states into groups by gender and race. the republicans swore in people from different races and genders into becoming americans #trump2020 and an immigrant was headline speaker. #cspan,0,biden
100,@USER we know better joe. #trump2020 @USER  @USER  ❤️🇺🇸🕺 HTTP,0,biden
113,"@USER @USER @USER @USER this guy is excused. he earned the right to do whatever the f*** he wants.
#veteransfortrump 
#trump2020 HTTP",0,biden
858,@USER maybe we should nominate her for president because the ones we have fall way short! #shegotitright #jayapal #dncplatform #joebiden,1,biden
177,nyt editorial board slams mcconnell for blocking stimulus with ‘political charade’ as he goes on vacation - HTTP,1,biden
237,"together we will beat donald trump – #joebiden for president: official campaign website “kamala’s mother told her growing up “don’t sit around and complain about things, do something,” which is what drives #kamala every single day.” #vote #donate  HTTP",1,biden
865,"equity vs equality

let's stop talking about who gets what for free.

let's remove barriers.

#voteblue #blacklivesmatter #dotherightthing 
#justiceforall #educationforall #healthcareforall 
#opportunities #buildbackbetter HTTP",1,biden
397,@USER but why? she insulted the hell out of him! she almost derailed #biden's candidacy during the primaries with some warped illadvised statements on busing. i'd much rather tracey. #biden2020,1,biden
548,"my #trumpcult aunt told my mom that celebrities are vampires killing children to drink their blood in order to stay young. 
what in the actual fuck is wrong with these crazies? i told her to lay off the youtube. 

#votebluetosaveamerica",1,biden
53,"good morning!

hey texas! *thirty days* until early in-person voting!

51 days to nov 3. 

mail-in ballots should be arriving any day. shout out when you receive yours please. 

we’re going to do this!

#joebiden #kamalaharris HTTP",1,biden
257,@USER it's september 1st and you haven't done anything to help american citizens. you're holding up money to try and get your ridiculous wish list. #trump2020 #voteredtosaveamerica2020,0,biden
643,@USER no i think the debacle of 2016 was the worst and most corrupt election it was interfered by russia and you’re trying to do it again this year that’s why you don’t want paper votes because you can’t get into machines. we’re not stupid! no voter suppression #votebluetosaveamerica,1,biden
699,"and when he ups the energy, biden just sounds angry, not an inspiring angry. #demdebate",0,biden
116,"@USER “a nation that values its privileges above its principles soon loses both” eisenhower 1/20/1953. we now have a president with no principles, no values, no empathy.  he refuses to honor the constitution.  we must vote trump &amp; all who support him out #votebluetosaveamerica",1,biden
330,@USER biden just showing up and finishing wins! the expectation is set soooo low that he will win just by showing up. regardless of what happens.,1,biden
339,"@USER additional that same idiotic logic that so many people believe when they voted for this mad man we have in our house. what do you have to lose??? we new, and it’s even worse. #biden2020",1,biden
182,living for @USER tweets rn. savage af and i’m here for it 🙌😂 #dumptrump #bidenharris2020 HTTP,1,biden
49,"joe biden to meet with jacob blake, sr., who has long history of racist, anti-semitic, and anti-christian posts, in kenosha HTTP",0,biden
434,"@USER i have no idea how he didn’t curse out trump. joe is a far stronger person than most people. honestly, that part had nothing to do with policy but showed me how biden would be as president",1,biden
311,@USER i wasn't impressed by his speech. those proposals could have came from any ordinary folk's mouth. does #joebiden really know how to run the country? hmmmmm.,0,biden
609,"@USER trump/republican will not be messing with the mail. he stated this would happen, and sure enough it is. harris/biden/pelosi/ schumer are the cause of this mess. no surprise!",0,biden
717,"@USER @USER biden's ""...living will."" no truer words. 😂 well written statement. #kag #americafirst #trump2020 @USER @USER @USER",0,biden
217,"#imvotingforjoe because i'm tired of seeing this moesha vs. monica crap at #1
#moesha #joebiden #trumpmeltdown",1,biden
645,"@USER @USER elizabeth warren brought a 10 blade to the stage tonight!

she is amazing!

#debatenight #debate #warren #warren2020 #democrats2020 #democraticdebate #senatorwarren @USER #votethemallout2020 #votebluetosaveamerica #votebluetoendthisnightmare #votebluetostoprussiasgop",1,biden
817,@USER so many people are blinded by their hatred for @USER because of the fake news and schemers they will never realize he might actual be the answer to our problems. just let the man work! #trump2020 #trumpunleashed HTTP,0,biden
98,@USER oh please... how about releasing your taxes! #dumptrumperdinck #dumptrump2020 #dumptrump #releaseyourtaxestrump #trumpisaliar #trumptaxreturns #trumpcrimefamily #trumpisafake #trumpisaphony #trumpisfake #phonytrump,1,biden
368,"@USER @USER of course you are reaching people! the only reason i am on twitter is to connect me with like-minded people who share a common goal-- end this national nightmare! 
#votebluetosaveamerica",1,biden
205,"soooo @USER @USER @USER @USER @USER @USER #maga #coronavirus  has he made 🇺🇸 great 4u? has a friend, family, or a friends family member died, got/is infected lost their job or buis. &amp; now un-emp benefits? #ridenwithbiden #votebluetoendthisnightmare HTTP",1,biden
366,"don’t forget. @USER has helped those in need by extending unemployment benefits, not democrats. remember that when you go to the polls in november. the democrats would rather play corrupt political games than support much need relief for the american people! #trump2020",0,biden
600,"breaking news: trump has named proxies to debate skeepy joe 

#maga #sleepyjoe HTTP",0,biden
